City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mitú,1.2,-70.17,70.97,98,100,1.66,CO,1595569949
Oodweyne,9.41,45.06,72.41,57,93,23.0,SO,1595569949
Taltal,-25.4,-70.48,49.89,54,0,4.47,CL,1595569842
Doha,25.29,51.53,100.99,71,20,12.75,QA,1595569672
Henties Bay,-22.12,14.28,64.99,25,0,1.01,NA,1595569796
Progreso,21.28,-89.67,78.01,94,75,11.41,MX,1595569950
Magadan,59.57,150.8,61.97,67,10,8.97,RU,1595569951
Padang,-0.95,100.35,84.2,79,20,4.7,ID,1595569951
Sivaki,52.63,126.75,75.42,73,100,13.91,RU,1595569951
General Roca,-39.03,-67.58,30.2,92,63,10.29,AR,1595569951
Osorno,-40.57,-73.15,30.2,100,2,1.83,CL,1595569952
Touros,-5.2,-35.46,69.8,94,15,8.05,BR,1595569722
Powell River,49.85,-124.54,64.0,77,75,2.24,CA,1595569952
Dourbali,11.81,15.86,77.32,76,79,8.3,TD,1595569952
Acaraú,-2.89,-40.12,75.7,87,93,12.06,BR,1595569952
Cockburn Town,21.46,-71.14,83.05,78,7,20.92,TC,1595569738
Poum,-20.23,164.02,74.08,76,1,11.77,NC,1595569747
San Luis,-33.3,-66.34,29.01,94,1,2.8,AR,1595569758
Baykit,61.67,96.37,60.96,60,100,5.73,RU,1595569953
Adrar,20.5,-10.07,90.14,35,0,11.23,MR,1595569836
Ingrāj Bāzār,25.0,88.15,87.69,68,100,6.8,IN,1595569954
Dinguiraye,11.3,-10.72,69.93,96,100,3.02,GN,1595569954
Caborca,30.58,-111.1,79.77,62,79,3.2,MX,1595569954
Shenzhen,22.55,114.07,93.2,52,20,12.75,CN,1595569954
Egvekinot,66.32,-179.17,62.31,55,69,5.19,RU,1595569786
Naze,28.37,129.48,87.8,79,75,18.34,JP,1595569718
La Asuncion,11.03,-63.86,87.8,70,67,13.87,VE,1595569705
Bogorodskoye,56.55,37.88,58.37,71,59,6.08,RU,1595569955
Laas,46.62,10.7,57.99,100,75,1.68,IT,1595569955
Suriāpet,17.15,79.62,83.7,64,99,0.27,IN,1595569803
Cairns,-16.92,145.77,78.8,57,75,14.99,AU,1595569810
Emba,48.83,58.14,80.96,34,0,20.78,KZ,1595569750
Xai-Xai,-25.05,33.64,64.9,75,14,0.63,MZ,1595569956
Killybegs,54.63,-8.45,55.0,95,45,1.99,IE,1595569957
Warrnambool,-38.38,142.48,55.0,74,100,5.01,AU,1595569799
Korla,41.76,86.15,82.83,26,0,3.13,CN,1595569957
Porto-Novo,6.5,2.6,75.2,94,20,10.29,BJ,1595569957
Toba,34.48,136.85,78.8,78,75,3.36,JP,1595569957
Malanje,-9.54,16.34,54.5,42,0,6.11,AO,1595569957
Sobolevo,54.43,31.9,56.43,81,72,5.86,RU,1595569728
Longyearbyen,78.22,15.64,48.2,87,75,11.41,SJ,1595569733
Port Hardy,50.7,-127.42,55.4,93,75,4.18,CA,1595569816
Lázaro Cárdenas,17.96,-102.2,79.63,80,99,3.02,MX,1595569759
Arrondissement de Blois,47.58,1.33,63.0,87,27,4.94,FR,1595569959
Faya,18.39,42.45,73.4,78,41,4.09,SA,1595569728
Hurghada,27.26,33.81,87.8,55,0,4.7,EG,1595569959
Mezen',65.85,44.24,74.82,51,69,12.26,RU,1595569959
Ko Samui,9.54,99.94,91.4,66,20,6.93,TH,1595569959
Kaeo,-35.1,173.78,54.0,3,24,7.0,NZ,1595569781
Ankazoabo,-22.28,44.52,65.01,43,0,11.36,MG,1595569960
Zell am See,47.33,12.79,59.0,90,100,3.56,AT,1595569960
Waipawa,-41.41,175.52,46.99,61,22,5.82,NZ,1595569960
Byron Bay,-28.65,153.62,60.8,93,90,8.05,AU,1595569621
Kendari,-3.94,122.5,83.68,66,85,7.25,ID,1595569961
Storm Lake,42.64,-95.21,77.0,100,75,11.41,US,1595569961
Popondetta,-8.75,148.25,83.97,68,10,3.98,PG,1595569961
Narsaq,60.92,-46.05,50.0,81,100,3.36,GL,1595569961
Severo-Yeniseyskiy,60.37,93.04,48.15,94,100,8.66,RU,1595569962
Okha,53.57,142.95,57.2,65,100,8.59,RU,1595569962
Proletariy,58.43,31.7,56.86,74,53,7.16,RU,1595569962
Presidente Dutra,-5.29,-44.49,71.71,62,71,3.18,BR,1595569962
Inhambane,-23.86,35.38,62.6,88,40,4.7,MZ,1595569783
Vágur,61.47,-6.81,52.36,94,100,10.83,FO,1595569963
Borba,-4.39,-59.59,75.94,78,41,0.4,BR,1595569963
Pangoa,-12.12,-73.0,66.36,90,70,2.55,PE,1595569963
Santa Maria,-29.68,-53.81,63.79,85,100,3.56,BR,1595569963
Bolton,53.58,-2.43,60.01,94,62,1.99,GB,1595569963
Begoro,6.39,-0.38,66.02,99,100,4.7,GH,1595569964
Cayenne,4.93,-52.33,75.2,100,90,4.72,GF,1595569763
Shostka,51.86,33.47,60.51,78,58,6.31,UA,1595569964
Paciran,-6.88,112.38,85.17,59,65,5.64,ID,1595569964
Vila Velha,-20.33,-40.29,62.6,93,20,2.24,BR,1595569729
Gaya,24.78,85.0,86.0,74,75,2.75,IN,1595569882
Talara,-4.58,-81.27,64.02,81,9,18.43,PE,1595569965
Xining,36.62,101.77,71.51,56,94,4.83,CN,1595569811
Zykovo,55.95,93.15,66.2,48,20,11.18,RU,1595569965
Te Anau,-45.42,167.72,38.1,86,74,5.26,NZ,1595569800
Kushiro,42.98,144.37,68.0,88,75,8.05,JP,1595569966
Comodoro Rivadavia,-45.87,-67.5,32.0,73,0,13.87,AR,1595569928
Krasnosel'kup,65.7,82.47,61.61,54,42,14.65,RU,1595569769
Anadyr,64.75,177.48,68.0,60,84,2.24,RU,1595569838
Kiryat Gat,31.61,34.76,79.0,58,9,1.01,IL,1595569799
Bom Jardim,-7.8,-35.59,64.0,96,38,6.67,BR,1595569967
San Jose,37.34,-121.89,64.99,72,20,6.93,US,1595569893
Fort Nelson,58.81,-122.7,62.6,72,75,6.93,CA,1595569529
Walvis Bay,-22.96,14.51,68.0,18,0,24.16,NA,1595569967
Krasnaya Zarya,52.78,37.68,60.53,69,60,5.95,RU,1595569967
Dolores,-36.31,-57.68,49.46,86,99,16.62,AR,1595569968
Steinbach am Taunus,50.17,8.57,71.01,67,90,3.36,DE,1595569968
Olbia,40.92,9.49,77.0,33,7,12.75,IT,1595569968
Vaitape,-16.52,-151.75,78.4,78,12,22.19,PF,1595569752
‘Āhuimanu,21.44,-157.84,82.4,65,75,9.17,US,1595569969
Puerto Escondido,15.85,-97.07,80.11,78,74,3.56,MX,1595569663
Isiolo,0.35,37.58,71.74,60,52,2.71,KE,1595569969
Amazar,53.86,120.88,74.5,77,100,5.55,RU,1595569969
Venezuela,8.0,-66.0,76.12,86,78,10.04,VE,1595569969
Pevek,69.7,170.31,49.59,69,60,5.73,RU,1595569778
Buchanan,5.88,-10.05,75.33,89,99,8.21,LR,1595569970
Jumla,29.27,82.18,73.99,94,30,6.76,NP,1595569970
Srednekolymsk,67.45,153.68,90.99,27,1,3.22,RU,1595569762
Vostok,46.49,135.88,70.54,70,53,5.37,RU,1595569824
Umm Kaddadah,13.6,26.69,82.49,52,59,14.99,SD,1595569804
Bilma,18.69,12.92,86.2,16,0,5.35,NE,1595569971
Auki,-8.77,160.7,84.4,70,3,6.6,SB,1595569971
Tegul'det,57.31,88.17,67.53,58,90,5.73,RU,1595569754
Zrenjanin,45.38,20.38,66.2,88,1,1.12,RS,1595569972
Monrovia,6.3,-10.8,75.88,87,100,9.1,LR,1595569646
Lavrentiya,65.58,-171.0,55.74,64,98,6.82,RU,1595569732
Santa Vitória do Palmar,-33.52,-53.37,63.45,95,77,8.7,BR,1595569972
Ancud,-41.87,-73.82,42.01,93,90,1.12,CL,1595569831
Beidao,34.57,105.89,70.38,80,100,2.75,CN,1595569973
Puri,19.8,85.85,85.6,69,100,7.85,IN,1595569752
Nanortalik,60.14,-45.24,44.33,94,100,5.28,GL,1595569740
Pingliang,35.54,106.69,66.04,88,100,5.79,CN,1595569973
Chokurdakh,70.63,147.92,82.38,42,95,0.65,RU,1595569729
Antalaha,-14.9,50.28,68.52,84,100,15.05,MG,1595569974
Ovruch,51.32,28.8,60.13,73,0,4.03,UA,1595569974
Bereda,43.27,-7.54,59.0,100,69,1.43,ES,1595569974
Vestmannaeyjar,63.44,-20.27,50.13,83,86,8.43,IS,1595569772
Mossamedes,-15.2,12.15,67.87,52,0,7.05,AO,1595569791
Sechura,-5.56,-80.82,63.28,80,28,11.39,PE,1595569975
Parrita,9.52,-84.32,68.0,100,20,3.36,CR,1595569975
Isangel,-19.55,169.27,84.2,70,40,9.17,VU,1595569811
Roald,62.58,6.13,53.01,76,4,11.41,NO,1595569975
Grand-Lahou,5.14,-5.02,73.99,90,94,7.67,CI,1595569976
Caravelas,-17.71,-39.25,69.89,92,62,6.33,BR,1595569761
Taoudenni,22.68,-3.98,92.66,12,0,6.08,ML,1595569976
Kindu,-2.95,25.95,79.34,53,84,0.56,CD,1595569976
Atar,20.52,-13.05,84.31,55,10,6.44,MR,1595569805
Puerto Carreño,6.19,-67.49,75.54,89,82,1.48,CO,1595569977
Deer Lake,49.17,-57.43,55.74,90,5,1.57,CA,1595569977
Bonthe,7.53,-12.51,75.78,89,100,10.71,SL,1595569768
Forsytheganj,52.63,29.73,58.39,77,0,5.66,BY,1595569729
Tigil',57.8,158.67,63.52,66,57,10.38,RU,1595569978
Kavaratti,10.57,72.64,84.2,79,90,6.93,IN,1595569978
Brooks,50.58,-111.89,64.0,84,15,10.16,CA,1595569978
Bismarck,46.81,-100.78,80.6,78,1,8.05,US,1595569888
Hay River,60.82,-115.8,53.6,81,75,6.93,CA,1595569978
Plettenberg Bay,-34.05,23.37,66.4,27,0,9.62,ZA,1595569766
Kānt,27.8,79.8,95.14,46,0,9.24,IN,1595569979
Erzin,36.96,36.2,82.99,84,8,4.36,TR,1595569720
Yuxia,34.06,108.63,73.0,88,90,11.18,CN,1595569979
Innisfail,-17.53,146.03,66.0,82,71,5.01,AU,1595569979
Diffa,13.32,12.61,79.52,67,96,15.1,NE,1595569980
Vila Franca do Campo,37.72,-25.43,62.6,88,40,3.36,PT,1595569735
Christchurch,-43.53,172.63,48.0,60,61,5.82,NZ,1595569794
Geraldton,-28.77,114.6,68.0,49,0,14.99,AU,1595569654
Kamaishi,39.27,141.88,82.4,61,75,11.41,JP,1595569981
Davidson,36.15,-86.78,77.0,83,75,1.52,US,1595569981
Gizo Government Station,-8.1,156.84,83.53,79,80,15.93,SB,1595569981
Ikalamavony,-21.15,46.58,58.44,56,27,18.14,MG,1595569981
Buraidah,26.33,43.98,95.0,44,50,9.17,SA,1595569982
Haines Junction,60.75,-137.51,52.38,75,68,2.68,CA,1595569753
Liuzhou,24.31,109.39,92.07,60,75,10.02,CN,1595569982
Jutaí,-5.18,-68.9,72.03,96,77,1.34,BR,1595569982
Gornyy,55.12,83.91,65.26,56,21,3.33,RU,1595569982
Thinadhoo,0.53,72.93,83.23,70,63,7.72,MV,1595569983
Karagay,58.27,54.94,59.22,83,100,5.26,RU,1595569983
Sur,22.57,59.53,91.26,53,5,4.43,OM,1595569627
Lafia,8.48,8.52,72.46,96,100,3.29,NG,1595569983
Boueni,-12.9,45.08,77.0,65,75,19.46,YT,1595569983
Terme,41.21,36.97,75.2,64,20,9.17,TR,1595569984
Avila,40.58,-5.0,62.01,58,6,1.32,ES,1595569984
Béboto,8.27,16.94,71.82,92,93,1.5,TD,1595569984
La Ronge,55.1,-105.28,68.0,88,40,10.29,CA,1595569985
Hammerfest,70.66,23.68,50.0,100,75,3.36,NO,1595569775
Lichinga,-13.31,35.24,51.8,87,75,13.87,MZ,1595569985
Ekhabi,53.51,142.97,57.6,63,100,8.39,RU,1595569986
Veselynove,47.36,31.23,68.0,72,20,8.95,UA,1595569986
Illintsi,49.1,29.22,60.8,72,20,7.09,UA,1595569986
Olafsvik,64.89,-23.71,44.98,75,23,17.69,IS,1595569821
Broken Hill,-31.95,141.43,66.2,37,75,12.75,AU,1595569986
Marawi,8.0,124.29,84.99,82,74,5.01,PH,1595569987
Departamento de Maldonado,-34.67,-54.92,53.6,93,90,11.41,UY,1595569987
Mariehamn,60.1,19.93,51.8,76,100,6.93,AX,1595569987
Carrick-on-Suir,52.35,-7.41,57.0,84,22,1.99,IE,1595569987
Watertown,42.37,-71.18,73.4,94,20,4.18,US,1595569677
Bogale,16.28,95.4,92.07,54,64,2.44,MM,1595569988
Baiyin,36.56,104.21,80.01,64,90,2.24,CN,1595569988
Saint-Joseph,-21.37,55.62,69.8,52,20,32.21,RE,1595569822
Dubai,25.26,55.3,93.2,52,0,12.75,AE,1595569967
Mombetsu,44.35,143.35,60.8,100,75,10.29,JP,1595569989
High Level,58.52,-117.14,59.0,93,90,2.24,CA,1595569989
Ipixuna,-1.76,-48.8,78.8,83,70,8.05,BR,1595569989
Charters Towers,-20.1,146.27,74.34,46,10,5.23,AU,1595569989
Kikwit,-5.04,18.82,76.44,34,9,0.51,CD,1595569989
Kenai,60.55,-151.26,60.8,71,1,17.22,US,1595569740
Necochea,-38.55,-58.74,46.0,28,96,18.01,AR,1595569754
Yaan,7.38,8.57,71.31,97,73,5.86,NG,1595569990
Zabaykal'sk,49.63,117.32,89.49,35,91,8.34,RU,1595569990
Cervo,43.67,-7.41,59.0,91,23,5.08,ES,1595569991
Polokwane,-23.9,29.47,41.0,80,75,4.0,ZA,1595569991
Njombe,-9.33,34.77,51.64,69,73,8.68,TZ,1595569991
Datong,40.09,113.29,85.46,33,10,5.12,CN,1595569992
Visakhapatnam,17.69,83.21,87.8,70,75,9.17,IN,1595569992
Meulaboh,4.14,96.13,84.81,66,61,5.37,ID,1595569799
Nagato,34.38,131.2,78.8,94,75,12.75,JP,1595569992
Tura,25.52,90.22,81.68,82,99,6.17,IN,1595569992
Burgeo,47.62,-57.62,58.82,95,100,9.04,CA,1595569993
Marrakesh,31.63,-8.01,71.6,78,0,3.36,MA,1595569850
Utrera,37.19,-5.78,80.01,53,0,3.36,ES,1595569993
Maryville,35.76,-83.97,73.99,88,20,5.82,US,1595569855
Goba,7.02,39.98,57.43,80,34,2.64,ET,1595569993
Anaconda,46.13,-112.94,57.2,87,1,4.7,US,1595569994
Viranşehir,37.24,39.76,98.06,15,0,6.76,TR,1595569994
Tanout,14.97,8.89,80.83,56,89,13.31,NE,1595569994
Yokadouma,3.52,15.05,69.76,90,90,3.15,CM,1595569994
Klaksvík,62.23,-6.59,50.0,100,100,9.17,FO,1595569760
Bilibino,68.05,166.44,82.47,41,55,11.3,RU,1595569995
Ambilobe,-13.2,49.05,75.34,49,87,2.42,MG,1595569995
Marzuq,14.4,46.47,82.26,50,12,7.52,YE,1595569995
Cap-aux-Meules,47.38,-61.86,62.6,100,90,2.24,CA,1595569995
Hualmay,-11.1,-77.61,60.64,86,79,6.93,PE,1595569996
Merauke,-8.47,140.33,81.23,74,27,18.54,ID,1595569757
Jiangmen,22.58,113.08,102.99,63,70,1.99,CN,1595569996
Quang Ngai,15.12,108.8,93.49,48,52,12.55,VN,1595569728
Alcúdia,39.85,3.12,73.0,73,0,3.36,ES,1595569996
Matara,5.95,80.54,77.99,84,100,8.37,LK,1595569996
Gijang,35.24,129.21,75.2,73,75,11.41,KR,1595569997
Tongren,27.72,109.19,90.25,62,100,6.73,CN,1595569997
Lorengau,-2.02,147.27,84.81,74,79,8.84,PG,1595569801
Luwuk,-0.95,122.79,83.59,67,69,7.96,ID,1595569997
Paita,-5.09,-81.11,62.55,84,25,11.36,PE,1595569795
Klyuchi,52.27,79.17,71.13,51,97,9.95,RU,1595569998
Matagami,49.75,-77.63,53.6,87,1,3.62,CA,1595569998
Aswān,24.09,32.91,94.46,17,19,14.05,EG,1595569998
San Isidro,-12.12,-77.05,59.0,87,20,4.7,PE,1595569998
Dakar,14.69,-17.44,80.6,88,20,8.34,SN,1595569676
Tyret’ Pervaya,53.67,102.31,78.31,50,24,2.68,RU,1595569999
Najrān,17.49,44.13,89.6,29,40,4.7,SA,1595569796
Aleksandrovskiy Zavod,50.92,117.94,84.72,49,57,9.06,RU,1595569999
Keelung,25.13,121.74,96.8,63,75,4.7,TW,1595569999
Wajir,1.75,40.06,77.83,53,50,21.0,KE,1595569999
Sittwe,20.15,92.9,84.31,80,94,12.19,MM,1595570000
Werda,-25.27,23.28,45.77,62,0,7.11,BW,1595570000
Northam,51.03,-4.22,62.01,100,41,5.01,GB,1595570000
Misratah,32.38,15.09,78.98,69,0,6.44,LY,1595569814
Krāslava,55.9,27.17,55.99,74,17,8.05,LV,1595570001
Moundsville,39.92,-80.74,72.0,94,90,3.11,US,1595570001
Alagoinhas,-12.14,-38.42,66.9,96,66,3.2,BR,1595570001
Ban Dung,17.7,103.26,93.2,59,40,3.36,TH,1595570001
Arman',59.7,150.17,63.19,62,32,6.46,RU,1595570002
Ürümqi,43.8,87.6,91.4,19,0,2.24,CN,1595570002
Waitati,-45.75,170.57,48.99,50,55,15.99,NZ,1595570002
Qasigiannguit,68.82,-51.19,53.6,58,98,4.7,GL,1595570003
Rocha,-34.48,-54.33,56.44,90,97,9.26,UY,1595569730
Assiniboia,49.63,-105.98,66.88,86,77,6.24,CA,1595570003
Kamiiso,41.82,140.65,73.4,83,75,8.05,JP,1595570003
Jiangyou,31.77,104.72,84.97,74,92,6.58,CN,1595570003
Ruidoso,33.33,-105.67,64.4,72,40,5.82,US,1595569829
Eqbālīyeh,35.3,51.54,89.6,39,40,11.41,IR,1595570004
Vidim,56.41,103.11,75.0,44,6,13.04,RU,1595570004
Durango,24.83,-104.83,62.76,78,89,7.18,MX,1595570004
Fairbanks,64.84,-147.72,64.4,59,1,3.36,US,1595569715
Wolgast,54.05,13.77,64.0,64,100,1.01,DE,1595569760
Kabare,-2.47,28.82,64.72,70,53,2.35,CD,1595570005
Poya,-21.35,165.15,73.92,68,24,6.2,NC,1595570005
Safi,32.3,-9.24,69.28,90,0,11.23,MA,1595569842
Tyukhtet,56.54,89.3,67.01,57,68,7.34,RU,1595570006
Kologriv,58.83,44.32,62.65,63,18,7.58,RU,1595570006
Gaogou,34.02,119.19,84.69,59,2,7.63,CN,1595570006
Maniitsoq,65.42,-52.9,47.84,86,100,2.66,GL,1595569816
Tuy Hoa,13.08,109.3,89.74,56,99,4.68,VN,1595570007
Ternate,0.8,127.4,83.21,74,66,6.31,ID,1595570007
Yei,4.09,30.68,69.89,92,31,3.33,SS,1595570007
Erdenet,49.03,104.08,69.71,62,68,4.45,MN,1595570007
Sola,-13.88,167.55,81.05,82,90,17.9,VU,1595570007
Klyuchevskiy,53.53,119.45,76.14,80,84,1.34,RU,1595570008
The Valley,18.22,-63.06,82.4,83,40,13.87,AI,1595569782
Kisangani,0.52,25.2,74.3,84,0,1.63,CD,1595570008
Kargil,34.57,76.1,66.02,27,0,2.57,IN,1595570008
Mattru,7.62,-11.83,72.37,96,100,2.57,SL,1595570009
Três Corações,-21.7,-45.25,54.99,87,0,3.65,BR,1595570009
Praia,14.92,-23.51,78.8,83,40,9.17,CV,1595570009
Kloulklubed,7.04,134.26,82.4,83,75,9.17,PW,1595570009
Aden,12.78,45.04,86.59,73,0,5.97,YE,1595569886
Greenville,35.61,-77.37,73.99,94,1,4.7,US,1595570010
Dinghaicun,26.28,119.79,93.2,63,20,20.13,CN,1595570010
Lat Yao,15.75,99.79,94.73,49,55,3.4,TH,1595570010
Atambua,-9.11,124.89,81.63,43,25,1.25,ID,1595569810
Kapit,2.02,112.93,89.94,57,100,1.66,MY,1595570011
Āsosa,10.07,34.53,63.75,98,100,3.18,ET,1595570011
Verkhnyaya Maksakovka,61.63,50.97,69.8,68,60,8.95,RU,1595570011
